,DATASET,COMPRESSION_TYPE,IMAGE,COMPRESSION_LEVEL,ACCURACY,F1_SCORE,MCC
0,comofod,JPEG,1,7,0.9813957214355469,0.09399962845996657,0.14137809809533436
1,comofod,JPEG,1,8,0.981903076171875,0.14982078853046596,0.2057947509925042
2,comofod,JPEG,1,9,0.9813804626464844,0.0823463056965595,0.12890454266297374
3,comofod,JPEG,2,7,0.9591217041015625,0.10818908122503329,0.21607524328342445
4,comofod,JPEG,2,8,0.9615020751953125,0.2054794520547945,0.3157876059856359
5,comofod,JPEG,2,9,0.9588470458984375,0.09904793719726074,0.20241339982682474
6,comofod,JPEG,3,7,0.9832801818847656,0.15662882432172406,0.22705764978717138
7,comofod,JPEG,3,8,0.9839630126953125,0.2452423698384201,0.30754253643949997
8,comofod,JPEG,3,9,0.9833564758300781,0.15885868517447466,0.23172238173596565
9,comofod,JPEG,4,7,0.9895591735839844,0.2806833114323259,0.3392133106601721
10,comofod,JPEG,4,8,0.9902496337890625,0.3729146221786065,0.4186458561660878
11,comofod,JPEG,4,9,0.9892997741699219,0.2685788787483703,0.32084772407839407
12,comofod,JPEG,5,7,0.9342880249023438,0.2398729150119142,0.3418547274694179
13,comofod,JPEG,5,8,0.941619873046875,0.37707587105177465,0.4574274257407455
14,comofod,JPEG,5,9,0.9330482482910156,0.21327715271863373,0.31845500339641325
15,comofod,JPEG,6,7,0.8682403564453125,0.22770771845094356,0.33103290879017233
16,comofod,JPEG,6,8,0.8826217651367188,0.3658285243198681,0.44144854853762294
17,comofod,JPEG,6,9,0.8641891479492188,0.18534620841151433,0.2930315412791338
18,comofod,JPEG,7,7,0.9786415100097656,0.049889699643645,0.0715378431901817
19,comofod,JPEG,7,8,0.9806556701660156,0.1771864351776732,0.23935603886413484
20,comofod,JPEG,7,9,0.978515625,0.041524846834581346,0.059052582097415166
21,comofod,JPEG,8,7,0.9953384399414062,0.023961661341853034,0.0219279009631269
22,comofod,JPEG,8,8,0.9953117370605469,0.019154030327214685,0.017048574105055943
23,comofod,JPEG,8,9,0.995391845703125,0.0033003300330033004,0.0010924157971059566
24,comofod,JPEG,9,7,0.9740943908691406,0.14222559050145256,0.2254089643737106
25,comofod,JPEG,9,8,0.9770164489746094,0.29950005813277525,0.3863372497603217
26,comofod,JPEG,9,9,0.9734001159667969,0.12012618296529969,0.1881353840415567
27,comofod,JPEG,10,7,0.9934463500976562,0.0,-0.0032813342435917873
28,comofod,JPEG,10,8,0.99407958984375,0.11516533637400228,0.11258676212800581
29,comofod,JPEG,10,9,0.9937095642089844,0.0,-0.003154347172352656
30,comofod,JPEG,11,7,0.9909553527832031,0.1418747737965979,0.27310862514804946
