,DATASET,COMPRESSION_TYPE,IMAGE,COMPRESSION_LEVEL,ACCURACY,F1_SCORE,MCC,JACCARD
0,comofod,JPEG,1,1,0.9813804626464844,0.0823463056965595,0.12890454266297374,0.04294117647058823
1,comofod,JPEG,1,2,0.9807167053222656,0.0,-0.004593463045607449,0.0
2,comofod,JPEG,1,3,0.9805946350097656,0.000785700255352583,-0.0032623952015165803,0.00039300451955197487
3,comofod,JPEG,1,4,0.9813613891601562,0.050893550893550896,0.09163603112348401,0.026111221845724536
4,comofod,JPEG,1,5,0.9813156127929688,0.047452353169972775,0.08571708968668468,0.024302788844621514
5,comofod,JPEG,1,6,0.9811897277832031,0.05986653956148713,0.09811687456913093,0.03085691823899371
6,comofod,JPEG,1,7,0.9813957214355469,0.09399962845996657,0.14137809809533436,0.049317738791423
7,comofod,JPEG,1,8,0.981903076171875,0.14982078853046596,0.2057947509925042,0.08097636574970941
8,comofod,JPEG,1,9,0.9813804626464844,0.0823463056965595,0.12890454266297374,0.04294117647058823
9,comofod,JPEG,2,1,0.9588470458984375,0.09904793719726074,0.20241339982682474,0.05210438450048326
10,comofod,JPEG,2,2,0.9559822082519531,0.00017329520838748808,-0.006416784395640071,8.665511265164645e-05
11,comofod,JPEG,2,3,0.9569358825683594,0.009997369113391212,0.04029089809128425,0.005023796932839768
12,comofod,JPEG,2,4,0.9571533203125,0.02415291051259774,0.0774746016535992,0.012224078796939583
13,comofod,JPEG,2,5,0.9579200744628906,0.05983124520582971,0.14593853844423774,0.03083816552451239
14,comofod,JPEG,2,6,0.9583625793457031,0.07601794633031406,0.17371863533356843,0.039510735656458996
15,comofod,JPEG,2,7,0.9591217041015625,0.10818908122503329,0.21607524328342445,0.05718810487418617
16,comofod,JPEG,2,8,0.9615020751953125,0.2054794520547945,0.3157876059856359,0.11450381679389313
17,comofod,JPEG,2,9,0.9588470458984375,0.09904793719726074,0.20241339982682474,0.05210438450048326
18,comofod,JPEG,3,1,0.9833564758300781,0.15885868517447466,0.23172238173596565,0.08628272251308901
19,comofod,JPEG,3,2,0.9775848388671875,0.008771929824561403,0.00065142684828896,0.004405286343612335
20,comofod,JPEG,3,3,0.9793968200683594,0.00880895577170123,0.0038690330578960964,0.004423963133640553
21,comofod,JPEG,3,4,0.9810905456542969,0.025172074729596854,0.03400025317531477,0.012746464847639912
